"Name","CITY","STATE","EST_DATE","FDIC Certificate Number","CLASS","REGULATOR","Minority_STATUS","FDIC_REGION","Total_ASSETS","IDRSSD","OCC Charter Number","OTS Docket Number","Primary ABA Routing Number","Financial Institution Name","Financial Institution Address","Financial Institution City","Financial Institution State","Financial Institution Zip Code","Financial Institution Filing Type","Last Date/Time Submission Updated On"
"ALAMERICA BANK","BIRMINGHAM","AL","20000128",35314,"NM","FDIC","B","ATLANTA",35577,2877484,0,17005,62006356,"ALAMERICA BANK","2170 HIGHLAND AVENUE SOUTH","BIRMINGHAM","AL","35205","041",2017-07-28 13:23:24
"COMMONWEALTH NATIONAL BANK","MOBILE","AL","19760219",22229,"N","OCC","B","ATLANTA",52552,578237,16553,0,65102833,"COMMONWEALTH NATIONAL BANK","2214 SAINT STEPHENS ROAD","MOBILE","AL","36617","051",2017-07-28 15:10:49
"BAC FLORIDA BANK","CORAL GABLES","FL","19731012",21265,"NM","FDIC","H","ATLANTA",1996652,725732,0,10221,67009044,"BAC FLORIDA BANK","169 MIRACLE MILE SUITE R10","CORAL GABLES","FL","33134","031",2017-07-28 14:46:47
"BANESCO USA","CORAL GABLES","FL","20060110",57815,"NM","FDIC","H","ATLANTA",982668,3402913,0,0,67015779,"BANESCO USA","150 ALHAMBRA CIRCLE SUITE 100","CORAL GABLES","FL","33134","031",2017-07-27 14:51:19
"CENTRAL BANK","TAMPA","FL","20070226",58377,"NM","FDIC","A","ATLANTA",127495,3468450,0,0,63116203,"CENTRAL BANK","20701 BRUCE B DOWNS BOULEVARD","TAMPA","FL","33647","051",2017-07-13 10:28:00
"CONTINENTAL NATIONAL BANK","MIAMI","FL","19740510",21578,"N","OCC","H","ATLANTA",491755,837037,16325,15208,66009456,"CONTINENTAL NATIONAL BANK","1801 S.W. 1ST STREET","MIAMI","FL","33135","041",2017-07-20 13:51:00
"EXECUTIVE NATIONAL BANK","MIAMI","FL","19720607",20711,"N","OCC","H","ATLANTA",392799,1002430,15974,11264,67008155,"EXECUTIVE NATIONAL BANK","9600 NORTH KENDALL DRIVE","MIAMI","FL","33176","041",2017-07-21 16:07:25
"INTERAMERICAN BANK A FSB","MIAMI","FL","19760823",31823,"SB","OCC","H","ATLANTA",202367,221775,707506,7506,267087769,"INTERAMERICAN BANK, A FEDERAL SAVINGS BANK","9190 CORAL WAY","MIAMI","FL","33165","051",2017-07-28 14:34:10
"INTERCONTINENTAL BANK","WEST MIAMI","FL","20020621",57214,"NM","FDIC","H","ATLANTA",154897,3122828,0,0,67015274,"INTERCONTINENTAL BANK","5722 SOUTHWEST 8TH STREET","WEST MIAMI","FL","33144","041",2017-07-24 13:34:57
"INTERNATIONAL FINANCE BANK","MIAMI","FL","19831130",24823,"NM","FDIC","H","ATLANTA",406111,867632,0,14561,67011692,"INTERNATIONAL FINANCE BANK","777 SOUTHWEST 37TH AVENUE SUITE 700","MIAMI","FL","33135","031",2017-07-26 16:55:33
"OCEAN BANK","MIAMI","FL","19821209",24156,"NM","FDIC","H","ATLANTA",3566673,663834,0,30742,66011392,"OCEAN BANK","780 NORTHWEST 42ND AVENUE","MIAMI","FL","33126","041",2017-08-01 10:09:49
"PLUS INTERNATIONAL BANK","MIAMI","FL","20010914",57083,"NM","FDIC","H","ATLANTA",82367,3049729,0,0,66015181,"PLUS INTERNATIONAL BANK","1000 BRICKELL AVENUE, SUITE 1100","MIAMI","FL","33131","041",2017-07-26 10:46:36
"SUNSTATE BANK","MIAMI","FL","19990315",34643,"NM","FDIC","H","ATLANTA",190774,2791085,0,0,67014592,"SUNSTATE BANK","14095 SOUTH DIXIE HIGHWAY","MIAMI","FL","33176","051",2017-07-26 19:27:15
"TOTALBANK","MIAMI","FL","19740305",21468,"NM","FDIC","H","ATLANTA",2968478,790534,0,17154,66009155,"TOTALBANK","100 SOUTHEAST 2ND STREET 32ND FLOOR","MIAMI","FL","33131","041",2017-07-27 13:49:19
"U S CENTURY BANK","DORAL","FL","20021028",57369,"NM","FDIC","H","ATLANTA",973876,3146150,0,0,67015397,"U.S. CENTURY BANK","2301 NW 87TH AVENUE","MIAMI","FL","33172","031",2017-07-28 14:04:28
"CARVER STATE BANK","SAVANNAH","GA","19270101",16584,"NM","FDIC","B","ATLANTA",39942,370833,0,10722,61200658,"CARVER STATE BANK","701 M L KING BLVD","SAVANNAH","GA","31401","041",2017-07-30 14:58:44
"CITIZENS TRUST BANK","ATLANTA","GA","19210618",8033,"SM","FED","B","ATLANTA",401893,680130,0,13649,61010220,"CITIZENS TRUST BANK","3705 CASCADE ROAD","ATLANTA","GA","30331","041",2017-07-30 20:49:15
"EMBASSY NATIONAL BANK","LAWRENCEVILLE","GA","20070305",58413,"N","OCC","A","ATLANTA",114017,3482045,24679,0,61120903,"EMBASSY NATIONAL BANK","1817 NORTH BROWN ROAD","LAWRENCEVILLE","GA","30043","041",2017-07-26 14:21:46
"FIRST INTERCONTINENTAL BANK","DORAVILLE","GA","20000131",34998,"NM","FDIC","A","ATLANTA",353786,2877840,0,0,61119794,"FIRST IC BANK","5593 BUFORD HIGHWAY","ATLANTA","GA","30340","041",2017-08-04 15:06:37
"METRO CITY BANK","DORAVILLE","GA","20060404",58181,"NM","FDIC","A","ATLANTA",1077836,3437456,0,0,61120686,"METRO CITY BANK","5441 BUFORD HIGHWAY SUITE 109","DORAVILLE","GA","30340","041",2017-07-27 17:16:36
"NOA BANK","DULUTH","GA","20081106",58657,"NM","FDIC","A","ATLANTA",291699,3832127,0,46013,61121180,"NOA BANK","2385 PLEASANT HILL ROAD","DULUTH","GA","30096","051",2017-07-28 09:50:55
"QUANTUM NATIONAL BANK","SUWANEE","GA","19951227",34110,"N","OCC","A","ATLANTA",410633,2354387,22905,15711,61104893,"QUANTUM NATIONAL BANK","505 PEACHTREE INDUSTRIAL BOULEVARD","SUWANEE","GA","30024","041",2017-07-27 16:50:17
"STATE BANK OF GEORGIA","FAYETTEVILLE","GA","20071105",58599,"NM","FDIC","M","ATLANTA",75021,3650442,0,0,61121009,"STATE BANK OF GEORGIA","131 GINGERCAKE ROAD","FAYETTEVILLE","GA","30214","051",2017-07-17 16:34:35
"TOUCHMARK NATIONAL BANK","ALPHARETTA","GA","20080128",58687,"N","OCC","A","ATLANTA",300587,3645840,24789,0,61121106,"TOUCHMARK NATIONAL BANK","3651 OLD MILTON PARKWAY","ALPHARETTA","GA","30005","051",2017-07-28 15:38:14
"LUMBEE GUARANTY BANK","PEMBROKE","NC","19711222",20568,"NM","FDIC","N","ATLANTA",333706,651121,0,15993,53103682,"LUMBEE GUARANTY BANK","403 EAST THIRD STREET","PEMBROKE","NC","28372","051",2017-07-28 11:20:05
"MECHANICS&FARMERS BANK","DURHAM","NC","19080301",12266,"NM","FDIC","B","ATLANTA",267730,332224,0,13322,53100452,"MECHANICS & FARMERS BANK","116 WEST PARRISH STREET","DURHAM","NC","27701","051",2017-07-27 11:39:51
"SOUTH CAROLINA CMTY BANK","COLUMBIA","SC","19990326",35241,"NM","FDIC","B","ATLANTA",52853,2794732,0,0,53905877,"SOUTH CAROLINA COMMUNITY BANK","1545 SUMTER STREET","COLUMBIA","SC","292012829","041",2017-07-30 21:38:40
"FIRST STATE BANK","DANVILLE","VA","19190908",9502,"NM","FDIC","B","ATLANTA",29204,722227,0,14489,51401043,"FIRST STATE BANK","201 NORTH UNION STREET","DANVILLE","VA","24541","041",2017-07-18 08:29:47
"AMERICAN METRO BANK","CHICAGO","IL","19970129",34334,"NM","FDIC","A","CHICAGO",65712,2533043,0,15967,71025645,"AMERICAN METRO BANK","4878 NORTH BROADWAY","CHICAGO","IL","60640","041",2017-07-29 20:03:18
"ILLINOIS-SERVICE FS&LA","CHICAGO","IL","19340101",29399,"SB","OCC","B","CHICAGO",109245,250476,703395,3395,271070924,"ILLINOIS-SERVICE FEDERAL SAVINGS AND LOAN ASSOCIATION","4619 SOUTH MARTIN LUTHER KING DRIVE","CHICAGO","IL","60653","041",2017-07-28 18:22:23
"INTERNATIONAL BK OF CHICAGO","CHICAGO","IL","19921026",33708,"NM","FDIC","A","CHICAGO",515934,2006024,0,13929,71006651,"INTERNATIONAL BANK OF CHICAGO","5069 NORTH BROADWAY STREET","CHICAGO","IL","60640","051",2017-07-28 18:21:27
"MILLENNIUM BANK","DES PLAINES","IL","20070702",58348,"NM","FDIC","A","CHICAGO",77830,3547896,0,0,71926731,"MILLENNIUM BANK","2077 MINER STREET","DES PLAINES","IL","60016","041",2017-07-25 10:28:36
"PACIFIC GLOBAL BANK","CHICAGO","IL","19951109",34089,"SM","FED","A","CHICAGO",188076,2360904,0,0,71006774,"PACIFIC GLOBAL BANK","2323 SOUTH WENTWORTH AVENUE","CHICAGO","IL","60616","051",2017-07-27 18:00:31
"URBAN PARTNERSHIP BANK","CHICAGO","IL","20100819",59051,"NM","FDIC","B","CHICAGO",526232,4184186,0,0,71004226,"URBAN PARTNERSHIP BANK","7936 SOUTH COTTAGE GROVE AVENUE","CHICAGO","IL","60619","051",2017-07-28 18:50:47
"METRO BANK","LOUISVILLE","KY","19970106",34308,"NM","FDIC","B","CHICAGO",30113,2496081,0,0,83002740,"METRO BANK","900 SOUTH 12TH STREET","LOUISVILLE","KY","40210","051",2017-07-20 15:54:16
"FIRST INDEPENDENCE BANK","DETROIT","MI","19700514",20179,"NM","FDIC","B","CHICAGO",240030,254849,0,16107,72001079,"FIRST INDEPENDENCE BANK","44 MICHIGAN AVENUE","DETROIT","MI","48226","041",2017-07-28 13:43:56
"BAY BANK","GREEN BAY","WI","19950821",34052,"NM","FDIC","N","CHICAGO",87525,2329200,0,0,75912770,"BAY BANK","2555 PACKERLAND DRIVE","GREEN BAY","WI","54313","051",2017-07-28 17:02:20
"COLUMBIA SAVINGS&LOAN ASSN","MILWAUKEE","WI","19240101",28480,"SL","FDIC","B","CHICAGO",24217,596277,0,1672,275071217,"COLUMBIA SAVINGS AND LOAN ASSOCIATION","2020 WEST FOND DU LAC AVENUE","MILWAUKEE","WI","532050000","051",2017-07-28 19:31:23
"NATIVE AMERICAN BANK NA","DENVER","CO","19870727",27026,"N","OCC","N","DALLAS",95249,664653,21158,0,102007273,"NATIVE AMERICAN BANK, NATIONAL ASSOCIATION","999 18TH STREET, SUITE 2460","DENVER","CO","80202","051",2017-07-25 16:49:38
"LIBERTY BANK&TRUST CO","NEW ORLEANS","LA","19721116",20856,"NM","FDIC","B","DALLAS",637094,283438,0,10886,65002108,"LIBERTY BANK AND TRUST COMPANY","6600 PLAZA DRIVE SUITE 600","NEW ORLEANS","LA","70127","041",2017-07-28 16:56:34
"CENTINEL BANK OF TAOS","TAOS","NM","19690301",19904,"NM","FDIC","H","DALLAS",224684,800853,0,0,107001261,"CENTINEL BANK OF TAOS","512 PASEO DEL PUEBLO SUR","TAOS","NM","87571","051",2017-07-28 13:30:46
"MY BANK","BELEN","NM","19920701",33616,"SM","FED","H","DALLAS",165154,1972298,0,0,107006253,"MY BANK","19339 HIGHWAY 314","BELEN","NM","87002","051",2017-07-27 18:57:48
"ALLNATIONS BANK","CALUMET","OK","19010101",4051,"SM","FED","N","DALLAS",49640,146056,0,0,103107004,"ALLNATIONS BANK","114 EAST MAIN","CALUMET","OK","73014","051",2017-07-27 17:12:49
"BANK 2","OKLAHOMA CITY","OK","19030101",11521,"SM","FED","N","DALLAS",135523,64552,0,0,103012966,"BANK2","909 SOUTH  MERIDIAN AVENUE","OKLAHOMA CITY","OK","73108","041",2017-07-26 18:03:21
"BANK OF CHEROKEE COUNTY","HULBERT","OK","19081201",2327,"SM","FED","N","DALLAS",105033,815754,0,0,103107839,"BANK OF CHEROKEE COUNTY","110 E. MAIN","HULBERT","OK","74441","051",2017-07-14 15:26:45
"BANK OF COMMERCE","STILWELL","OK","19310101",422,"NM","FDIC","N","DALLAS",84424,322850,0,0,103112507,"BANK OF COMMERCE","24 WEST DIVISION","STILWELL","OK","74960","051",2017-08-03 11:30:05
"BANK OF GROVE","GROVE","OK","20050609",57915,"NM","FDIC","H","DALLAS",150200,3286999,0,0,103189682,"BANK OF GROVE","201 EAST 18TH STREET","GROVE","OK","74344","051",2017-07-18 16:11:55
"F&M BANK","EDMOND","OK","19020101",12761,"NM","FDIC","N","DALLAS",424289,163857,0,0,103104133,"F&M BANK","17100 NORTH MAY AVENUE","EDMOND","OK","73012","041",2017-07-20 11:02:36
"FIRST NATIONAL BANK&TRUST CO","SHAWNEE","OK","19841029",25738,"N","OCC","N","DALLAS",252472,396253,18430,0,103103451,"FIRST NATIONAL BANK AND TRUST COMPANY","130 EAST MACARTHUR","SHAWNEE","OK","74804","041",2017-07-27 13:34:31
"FIRSTBANK","ANTLERS","OK","19010101",14331,"SM","FED","N","DALLAS",315497,296456,0,0,103103396,"FIRSTBANK","100 NORTH HIGH STREET","ANTLERS","OK","74523","051",2017-07-28 21:15:55
"FORT GIBSON STATE BANK","FORT GIBSON","OK","19730521",21090,"NM","FDIC","N","DALLAS",62569,186856,0,0,103101660,"FORT GIBSON STATE BANK","200 SOUTH LEE STREET","FORT GIBSON","OK","74434","051",2017-07-24 10:42:29
"OKLAHOMA STATE BANK","VINITA","OK","19380713",15611,"NM","FDIC","N","DALLAS",142539,285759,0,0,103112620,"OKLAHOMA STATE BANK","120 WEST CANADIAN","VINITA","OK","74301","051",2017-07-26 14:26:26
"PEOPLES BANK","WESTVILLE","OK","19030203",2320,"NM","FDIC","N","DALLAS",46573,539452,0,0,103104489,"PEOPLES BANK","WILLIAM AND DIVISON STREET","WESTVILLE","OK","74965","051",2017-07-18 16:41:39
"CITIZENS SAVINGS B&T CO","NASHVILLE","TN","19040104",10319,"NM","FDIC","B","DALLAS",104492,55635,0,0,64000185,"CITIZENS SAVINGS BANK AND TRUST COMPANY","2013 JEFFERSON STREET","NASHVILLE","TN","37208","051",2017-07-28 09:48:19
"TRI-STATE BANK OF MEMPHIS","MEMPHIS","TN","19461216",16511,"NM","FDIC","B","DALLAS",93949,515054,0,0,84000929,"TRI-STATE BANK OF MEMPHIS","180 SOUTH MAIN STREET","MEMPHIS","TN","38103","051",2017-07-31 13:00:43
"AMERICAN FIRST NATIONAL BANK","HOUSTON","TX","19980518",34656,"N","OCC","A","DALLAS",1387258,2694681,23521,0,113024106,"AMERICAN FIRST NATIONAL BANK","9999 BELLAIRE","HOUSTON","TX","77036","041",2017-07-28 10:52:49
"BANK OF SOUTH TEXAS","MCALLEN","TX","19860708",26727,"NM","FDIC","H","DALLAS",129823,49858,0,0,114917157,"BANK OF SOUTH TEXAS","1421 EAST NOLANA AVENUE","MCALLEN","TX","78504","051",2017-07-27 11:36:19
"CITIZENS STATE BANK","ROMA","TX","19780515",22657,"NM","FDIC","H","DALLAS",83158,804860,0,0,114907633,"CITIZENS STATE BANK","1709 GRANT STREET","ROMA","TX","78584","041",2017-07-25 20:20:50
"COMMERCE BANK","LAREDO","TX","19820331",23772,"NM","FDIC","H","DALLAS",585876,625159,0,0,114909903,"COMMERCE BANK","5800 SAN DARIO","LAREDO","TX","78041","041",2017-07-28 11:58:34
"FALCON INTERNATIONAL BANK","LAREDO","TX","19861210",26856,"NM","FDIC","H","DALLAS",1135603,564557,0,0,114915803,"FALCON INTERNATIONAL BANK","7718 MCPHERSON ROAD BUILDING F","LAREDO","TX","780452805","031",2017-07-27 16:31:03
"FIRST STATE BANK","SHALLOWATER","TX","19601008",18301,"NM","FDIC","A","DALLAS",112134,524766,0,0,111323689,"FIRST STATE BANK","1 COMMERCE PARK","SHALLOWATER","TX","79363","041",2017-07-28 15:03:49
"GOLDEN BANK NATIONAL ASSN","HOUSTON","TX","19850503",26223,"N","OCC","A","DALLAS",754510,536059,18558,0,113015500,"GOLDEN BANK, NATIONAL ASSOCIATION","9315 BELLAIRE BLVD","HOUSTON","TX","77036","041",2017-07-27 19:33:42
"GREATER STATE BANK","FALFURRIAS","TX","19740101",31762,"NM","FDIC","H","DALLAS",70587,518877,0,0,314973548,"GREATER STATE BANK","3300 NORTH 10TH STREET","MCALLEN","TX","78501","051",2017-07-19 09:55:37
"INTERNATIONAL BK OF COM","BROWNSVILLE","TX","19841009",25679,"NM","FDIC","H","DALLAS",8361231,230759,0,0,114911580,"INTERNATIONAL BANK OF COMMERCE","1600 FM 802","BROWNSVILLE","TX","78521","041",2017-07-28 12:11:52
"INTERNATIONAL BK OF COM","LAREDO","TX","19660902",19629,"NM","FDIC","H","DALLAS",480328,1001152,0,0,114902528,"INTERNATIONAL BANK OF COMMERCE","1200 SAN BERNARDO STREET","LAREDO","TX","78040","041",2017-08-14 16:29:55
"INTERNATIONAL BK OF COM","ZAPATA","TX","19840206",24961,"NM","FDIC","H","DALLAS",960449,382069,0,0,114912709,"INTERNATIONAL BANK OF COMMERCE","908 NORTH US HIGHWAY 83","ZAPATA","TX","78076","041",2017-08-14 16:26:37
"LONE STAR NATIONAL BANK","PHARR","TX","19830124",24347,"N","OCC","H","DALLAS",2148636,842460,17611,0,114911687,"LONE STAR NATIONAL BANK","206 WEST FERGUSON","PHARR","TX","78577","041",2017-07-28 12:41:20
"ONE WORLD BANK","DALLAS","TX","20050404",57901,"NM","FDIC","A","DALLAS",79749,3296859,0,0,111025123,"ONE WORLD BANK","2449 WALNUT HILL LANE","DALLAS","TX","752290819","051",2017-07-31 00:58:13
"RIO BANK","MCALLEN","TX","19850211",25886,"NM","FDIC","H","DALLAS",316861,956750,0,0,114915447,"RIO BANK","1655 NORTH 23RD STREET","MCALLEN","TX","785016736","051",2017-07-26 18:17:31
"SOUTHWESTERN NATIONAL BANK","HOUSTON","TX","19971103",34319,"N","OCC","A","DALLAS",359952,2625724,23081,0,113024009,"SOUTHWESTERN NATIONAL BANK","6901 CORPORATE DRIVE","HOUSTON","TX","77036","051",2017-08-07 12:59:08
"STATE BANK OF TEXAS","DALLAS","TX","19871019",27074,"NM","FDIC","A","DALLAS",959444,1157415,0,0,111017458,"STATE BANK OF TEXAS","11950 WEBB CHAPEL ROAD","DALLAS","TX","752347724","051",2017-08-14 14:58:17
"TEXAS NATIONAL BANK","MERCEDES","TX","19201126",3337,"N","OCC","H","DALLAS",227337,497954,11879,0,114920128,"TEXAS NATIONAL BANK","201 SOUTH TEXAS AVENUE","MERCEDES","TX","785703123","051",2017-07-21 11:47:24
"UNITED BK EL PASO DEL NORTE","EL PASO","TX","20010501",57119,"SM","FED","H","DALLAS",224968,2942823,0,0,112024437,"UNITED BANK OF EL PASO DEL NORTE","125 NORTH MESA HILLS DRIVE","EL PASO","TX","799124874","051",2017-08-11 14:09:04
"UNITY NB OF HOUSTON","HOUSTON","TX","19850801",26351,"N","OCC","B","DALLAS",99200,853251,21008,0,113001242,"UNITY NATIONAL BANK OF HOUSTON","2602 BLODGETT","HOUSTON","TX","770045316","051",2017-07-31 13:59:19
"WALLIS STATE BANK","WALLIS","TX","19721028",20845,"NM","FDIC","A","DALLAS",571725,283867,0,0,113113392,"WALLIS STATE BANK, THE","6510 RAILROAD STREET","WALLIS","TX","77485","041",2017-07-28 15:19:09
"ZAPATA NATIONAL BANK","ZAPATA","TX","19611116",18454,"N","OCC","H","DALLAS",87170,218261,14955,0,114923756,"ZAPATA NATIONAL BANK","7TH & HIDALGO","ZAPATA","TX","78076","051",2017-07-18 11:14:06
"PINNACLE BANK","MARSHALLTOWN","IA","19270505",252,"SM","FED","N","KANSAS CITY",192274,365745,0,0,73920777,"PINNACLE BANK","2206 SOUTH CENTER STREET","MARSHALLTOWN","IA","50158","051",2017-07-27 18:11:21
"CBW BANK","WEIR","KS","18920101",13959,"NM","FDIC","A","KANSAS CITY",35393,71859,0,0,101110802,"CBW BANK","109 EAST MAIN STREET","WEIR","KS","66781","051",2017-07-30 21:15:07
"WOODLANDS NATIONAL BANK","HINCKLEY","MN","19081001",1417,"N","OCC","N","KANSAS CITY",174394,980951,23926,0,91908881,"WOODLANDS NATIONAL BANK","122 EAST MAIN STREET","HINCKLEY","MN","55037","041",2017-07-21 16:00:48
