"Name","CITY","STATE","EST_DATE","FDIC Certificate Number","CLASS","REGULATOR","Minority_STATUS","FDIC_REGION","Total_ASSETS","IDRSSD","OCC Charter Number","OTS Docket Number","Primary ABA Routing Number","Financial Institution Name","Financial Institution Address","Financial Institution City","Financial Institution State","Financial Institution Zip Code","Financial Institution Filing Type","Last Date/Time Submission Updated On"
"PEOPLES BANK OF SENECA","SENECA","MO","19960315",34146,"NM","FDIC","N","KANSAS CITY",170289,2396592,0,0,101206994,"PEOPLE'S BANK OF SENECA","1615 CHEROKEE","SENECA","MO","64865","051",2017-07-27 15:43:15
"TURTLE MOUNTAIN STATE BANK","BELCOURT","ND","20071203",58586,"NM","FDIC","N","KANSAS CITY",29067,3626184,0,0,91311148,"TURTLE MOUNTAIN STATE BANK","908 CHIEF LITTLE SHELL STREET","BELCOURT","ND","58316","051",2017-07-26 17:44:05
"INDUSTRIAL BANK","WASHINGTON","DC","19340818",14679,"NM","FDIC","B","NEW YORK",376298,536527,0,0,54000959,"INDUSTRIAL BANK","4812 GEORGIA AVENUE, NW","WASHINGTON","DC","20011","051",2017-07-31 10:57:27
"LEADER BANK NATIONAL ASSN","ARLINGTON","MA","20020508",57134,"N","OCC","A","NEW YORK",1109925,3109146,24131,0,11307129,"LEADER BANK, NATIONAL ASSOCIATION","180 MASSACHUSETTS AVENUE","ARLINGTON","MA","02474","041",2017-07-28 15:53:56
"ONEUNITED BANK","BOSTON","MA","19820802",23966,"NM","FDIC","B","NEW YORK",660954,935308,0,0,11001276,"ONEUNITED BANK","100 FRANKLIN STREET SUITE 600","BOSTON","MA","02110","041",2017-07-28 14:31:58
"HARBOR BANK OF MARYLAND","BALTIMORE","MD","19820913",24015,"NM","FDIC","B","NEW YORK",256193,533124,0,10119,52001772,"HARBOR BANK OF MARYLAND, THE","25 WEST FAYETTE STREET","BALTIMORE","MD","21201","051",2017-07-28 16:15:52
"CITY NB OF NEW JERSEY","NEWARK","NJ","19730611",21111,"N","OCC","B","NEW YORK",224079,567905,16142,13455,21201639,"CITY NATIONAL BANK OF NEW JERSEY","900 BROAD STREET","NEWARK","NJ","07102","041",2017-07-28 16:38:30
"INDUS AMERICAN BANK","ISELIN","NJ","20051212",57983,"NM","FDIC","A","NEW YORK",235234,3369959,0,0,21214066,"INDUS AMERICAN BANK","1630 OAK TREE ROAD","EDISON","NJ","08820","051",2017-07-30 21:06:59
"KEB HANA BANK","FORT LEE","NJ","19860916",26790,"N","OCC","A","NEW YORK",214606,609609,20622,0,26003272,"KEB HANA BANK USA, NATIONAL ASSOCIATION","2024 CENTER AVENUE","FORT LEE","NJ","07024","051",2017-07-27 15:05:33
"NEW MILLENNIUM BANK","NEW BRUNSWICK","NJ","19990719",35151,"NM","FDIC","A","NEW YORK",252744,2833882,0,0,21213371,"NEW MILLENNIUM BANK","222 BRIDGE PLAZA SOUTH","FORT LEE","NJ","07024","051",2017-07-28 20:16:09
"ABACUS FEDERAL SAVINGS BANK","NEW YORK","NY","19841129",32257,"SB","OCC","A","NEW YORK",248967,762773,708059,8059,226072870,"ABACUS FEDERAL SAVINGS BANK","6 BOWERY","NEW YORK","NY","10013","041",2017-07-28 10:03:19
"AMERASIA BANK","FLUSHING","NY","19880620",27267,"NM","FDIC","A","NEW YORK",566087,1169650,0,0,26011484,"AMERASIA BANK","41-04 /41-06 MAIN STREET","FLUSHING","NY","11355","041",2017-07-24 16:10:16
"BANCO POPULAR NORTH AMERICA","NEW YORK","NY","19990102",34967,"SM","FED","H","NEW YORK",8832084,2736291,0,0,26008811,"BANCO POPULAR NORTH AMERICA","11 WEST 51ST STREET","NEW YORK","NY","10004","041",2017-07-28 17:52:13
"CARVER FEDERAL SAVINGS BANK","NEW YORK","NY","19480101",30394,"SB","OCC","B","NEW YORK",690371,268677,705273,5273,226072498,"CARVER FEDERAL SAVINGS BANK","75 WEST 125TH STREET","NEW YORK","NY","10027","041",2017-08-11 12:53:18
"CHINATOWN FSB","NEW YORK","NY","19840427",32209,"SB","OCC","A","NEW YORK",134821,562076,708003,8003,226072841,"CHINATOWN FEDERAL SAVINGS BANK","109 BOWERY","NEW YORK","NY","10002","041",2017-07-27 10:12:14
"EASTBANK NATIONAL ASSN","NEW YORK","NY","19841126",25749,"N","OCC","A","NEW YORK",188888,98717,18431,0,26001465,"EASTBANK, NATIONAL ASSOCIATION","183 CENTRE STREET","NEW YORK","NY","10013","041",2017-07-25 15:18:56
"FIRST AMERICAN INTL BANK","BROOKLYN","NY","19991115",35186,"NM","FDIC","A","NEW YORK",849923,2857794,0,0,26013408,"FIRST AMERICAN INTERNATIONAL BANK","5503 8TH AVENUE","BROOKLYN","NY","11220","051",2017-07-28 11:57:42
"GLOBAL BANK","NEW YORK","NY","20070312",58263,"NM","FDIC","A","NEW YORK",152771,3561771,0,0,26014245,"GLOBAL BANK","30 EAST BROADWAY","NEW YORK","NY","10002","051",2017-07-28 13:18:10
"NEWBANK","FLUSHING","NY","20060929",58203,"NM","FDIC","A","NEW YORK",300248,3472859,0,0,26014216,"NEWBANK","146-01 NORTHERN BLVD.","FLUSHING","NY","11354","051",2017-07-21 14:40:42
"PONCE DE LEON FEDERAL BANK","BRONX","NY","19600331",31189,"SB","OCC","H","NEW YORK",786284,897170,706509,6509,226070131,"PONCE DE LEON FEDERAL BANK","2244 WESTCHESTER AVE.","BRONX","NY","10462","051",2017-07-27 15:58:39
"UNITED ORIENT BANK","NEW YORK","NY","19810409",23373,"NM","FDIC","A","NEW YORK",99696,70218,0,10769,26002752,"UNITED ORIENT BANK","10 CHATHAM SQUARE","NEW YORK","NY","10013","041",2017-07-28 10:55:55
"ASIAN BANK","PHILADELPHIA","PA","19990609",34759,"SM","FED","A","NEW YORK",168238,2785477,0,0,36018516,"ASIAN BANK","1023 RACE STREET","PHILADELPHIA","PA","19107","051",2017-07-26 16:24:03
"NOAH BANK","ELKINS PARK","PA","20060717",58196,"NM","FDIC","A","NEW YORK",329122,3388165,0,0,36018985,"NOAH BANK","7301 OLD YORK ROAD","ELKINS PARK","PA","19027","051",2017-07-28 10:00:59
"UNITED BANK OF PHILADELPHIA","PHILADELPHIA","PA","19920323",33568,"NM","FDIC","B","NEW YORK",54309,1945247,0,0,36002810,"UNITED BANK OF PHILADELPHIA","30 S. 15TH STREET","PHILADELPHIA","PA","19102","051",2017-07-30 17:35:58
"BANCO POPULAR DE PUERTO RICO","HATO REY","PR","19990102",34968,"SM","FED","H","NEW YORK",31087000,940311,0,11461,21502011,"BANCO POPULAR DE PUERTO RICO","209 MUNOZ RIVERA AVENUE","SAN JUAN","PR","00918","031",2017-07-28 17:53:27
"BANCO SANTANDER PUERTO RICO","SAN JUAN","PR","19721002",20828,"NM","FDIC","H","NEW YORK",5271096,816210,0,12675,21502341,"BANCO SANTANDER PUERTO RICO","207 AVENUE PONCE DE LEON","SAN JUAN","PR","00917","041",2017-07-29 00:40:53
"FIRSTBANK PUERTO RICO","SANTURCE","PR","19490117",30387,"NM","FDIC","H","NEW YORK",11875657,510871,0,0,221571473,"FIRSTBANK PUERTO RICO","1519 AVENUE PONCE DE LEON","SAN JUAN","PR","00909","031",2017-08-04 16:35:39
"ORIENTAL BANK","SAN JUAN","PR","19650325",31469,"NM","FDIC","H","NEW YORK",6376656,245276,0,7034,221571415,"ORIENTAL BANK","254 MUNOZ RIVERA AVENUE, 15TH FLOOR","SAN JUAN","PR","00926","041",2017-07-24 08:38:59
"SCOTIABANK DE PUERTO RICO","SAN JUAN","PR","19790907",22946,"NM","FDIC","H","NEW YORK",4221112,716413,0,0,21502804,"SCOTIABANK DE PUERTO RICO","273 PONCE DE LEON AVENUE","HATO REY","PR","00918","041",2017-07-28 17:32:09
"AMERICAN CONTINENTAL BANK","CITY OF INDUSTRY","CA","20031006",57444,"NM","FDIC","A","SAN FRANCISCO",209963,3216316,0,0,122243583,"AMERICAN CONTINENTAL BANK","17700 CASTLETON STREET, SUITE 100","CITY OF INDUSTRY","CA","91748","051",2017-07-27 14:12:15
"AMERICAN PLUS BANK N A","ARCADIA","CA","20070808",58469,"N","OCC","A","SAN FRANCISCO",466916,3623110,24716,0,122244663,"AMERICAN PLUS BANK, NATIONAL ASSOCIATION","630 WEST DUARTE ROAD","ARCADIA","CA","91007","051",2017-07-27 19:22:06
"AMERICAS UNITED BANK","GLENDALE","CA","20061106",58360,"NM","FDIC","H","SAN FRANCISCO",233493,3488980,0,0,122244498,"AMERICAS UNITED BANK","801 NORTH BRAND BOULEVARD, SUITE 180","GLENDALE","CA","91203","051",2017-07-28 14:50:06
"ASIAN PACIFIC NATIONAL BANK","SAN GABRIEL","CA","19900725",33013,"N","OCC","A","SAN FRANCISCO",59571,1462986,23006,0,122086944,"ASIAN PACIFIC NATIONAL BANK","333 WEST VALLEY BOULEVARD","SAN GABRIEL","CA","91776","051",2017-07-25 13:51:04
"BANK OF HOPE","LOS ANGELES","CA","19860318",26610,"NM","FDIC","A","SAN FRANCISCO",13459500,671464,0,0,122041235,"BANK OF HOPE","3200 WILSHIRE BOULEVARD, SUITE 1400","LOS ANGELES","CA","90010","041",2017-07-28 20:26:35
"BANK OF THE ORIENT","SAN FRANCISCO","CA","19710317",20387,"SM","FED","A","SAN FRANCISCO",611374,777366,0,0,121029672,"BANK OF THE ORIENT","233 SANSOME STREET","SAN FRANCISCO","CA","94104","031",2017-07-28 13:08:02
"BANK OF WHITTIER NA","WHITTIER","CA","19821220",24211,"N","OCC","A","SAN FRANCISCO",59448,209362,17548,0,122239542,"BANK OF WHITTIER, NATIONAL ASSOCIATION","15141 EAST WHITTIER BOULEVARD","WHITTIER","CA","90603","051",2017-07-28 13:51:26
"BROADWAY FEDERAL BANK FSB","LOS ANGELES","CA","19470226",30306,"SB","OCC","B","SAN FRANCISCO",451577,26176,705141,5141,322070145,"BROADWAY FEDERAL BANK, F.S.B.","5055 WILSHIRE BOULEVARD, SUITE 100","LOS ANGELES","CA","90036","051",2017-07-28 15:03:41
"CALIFORNIA BUSINESS BANK","LOS ANGELES","CA","20051101",58037,"NM","FDIC","A","SAN FRANCISCO",86245,3390337,0,0,122044119,"CALIFORNIA BUSINESS BANK","3200 EL CAMINO REAL","IRVINE","CA","92602","041",2017-07-28 18:52:35
"CALIFORNIA INTERNATIONAL BANK, N.A.","WESTMINSTER","CA","20051130",57974,"N","OCC","A","SAN FRANCISCO",62529,3394380,24577,0,122244032,"CALIFORNIA INTERNATIONAL BANK, N.A.","8632 EAST VALLEY BOULEVARD, SUITE A","ROSEMEAD","CA","91770","051",2017-07-25 20:11:08
"CALIFORNIA PACIFIC BANK","SAN FRANCISCO","CA","19801016",23242,"NM","FDIC","A","SAN FRANCISCO",81036,50461,0,0,121038265,"CALIFORNIA PACIFIC BANK","100 MONTGOMERY STREET, SUITE 2250","SAN FRANCISCO","CA","94104","041",2017-07-20 13:56:00
"CATHAY BANK","LOS ANGELES","CA","19620419",18503,"NM","FDIC","A","SAN FRANCISCO",14194820,595869,0,0,122203950,"CATHAY BANK","777 NORTH BROADWAY STREET","LOS ANGELES","CA","90012","031",2017-07-28 13:06:08
"COMMERCIAL BANK OF CA","IRVINE","CA","20030515",57417,"NM","FDIC","H","SAN FRANCISCO",788357,3189063,0,0,122243596,"COMMERCIAL BANK OF CALIFORNIA","19752 MACARTHUR BOULEVARD, SUITE 100","IRVINE","CA","92612","051",2017-07-29 15:52:19
"COMMONWEALTH BUSINESS BANK","LOS ANGELES","CA","20050303",57873,"SM","FED","A","SAN FRANCISCO",921965,3337097,0,0,122043864,"COMMONWEALTH BUSINESS BANK","3435 WILSHIRE BOULEVARD, SUITE 100","LOS ANGELES","CA","90010","041",2017-07-28 11:28:25
"COMMUNITY COMMERCE BANK","CLAREMONT","CA","19761001",26363,"NM","FDIC","H","SAN FRANCISCO",191495,299868,0,0,322271407,"COMMUNITY COMMERCE BANK","390 WEST FOOTHILL BOULEVARD","CLAREMONT","CA","91711","041",2017-07-27 19:09:52
"CTBC BANK CORP USA","LOS ANGELES","CA","19650427",19416,"NM","FDIC","A","SAN FRANCISCO",3027937,996260,0,0,122210406,"CTBC BANK CORP. (USA)","801 SOUTH FIGUEROA STREET, SUITE 2300","LOS ANGELES","CA","90017","041",2017-07-28 15:47:12
"EAST WEST BANK","PASADENA","CA","19720101",31628,"SM","FED","A","SAN FRANCISCO",35298930,197478,0,0,322070381,"EAST WEST BANK","135 NORTH LOS ROBLES AVENUE, 7TH FLOOR","PASADENA","CA","91101","031",2017-08-04 15:08:47
"EASTERN INTERNATIONAL BANK","LOS ANGELES","CA","19850226",32277,"NM","FDIC","A","SAN FRANCISCO",113487,206772,0,0,322286256,"EASTERN INTERNATIONAL BANK","688 NEW HIGH STREET","LOS ANGELES","CA","90012","051",2017-07-28 18:14:29
"EVERTRUST BANK","PASADENA","CA","19950503",34010,"NM","FDIC","A","SAN FRANCISCO",876634,2297998,0,0,122242296,"EVERTRUST BANK","2 NORTH LAKE AVENUE, SUITE 110","PASADENA","CA","91101","051",2017-07-25 17:31:22
"FIRST CHOICE BANK","CERRITOS","CA","20050818",57966,"NM","FDIC","A","SAN FRANCISCO",914841,3374878,0,0,122243994,"FIRST CHOICE BANK","12845 TOWNE CENTER DRIVE","CERRITOS","CA","90703","051",2017-07-28 13:49:38
"FIRST COMMERCIAL BANK USA","ALHAMBRA","CA","19970520",34496,"NM","FDIC","A","SAN FRANCISCO",520362,2332910,0,0,122242377,"FIRST COMMERCIAL BANK (U.S.A)","200 EAST MAIN STREET","ALHAMBRA","CA","91801","051",2017-07-26 13:28:38
"FIRST GENERAL BANK","ROWLAND HEIGHTS","CA","20051013",58060,"NM","FDIC","A","SAN FRANCISCO",862886,3386264,0,0,122244061,"FIRST GENERAL BANK","19036 COLIMA ROAD","ROWLAND HEIGHTS","CA","91748","051",2017-07-27 20:12:00
"GATEWAY BANK FSB","OAKLAND","CA","19900608",33103,"SB","OCC","A","SAN FRANCISCO",131784,1493319,708857,8857,321071161,"GATEWAY BANK, F.S.B.","2201 BROADWAY, SUITE 404","OAKLAND","CA","94612","051",2017-07-26 21:26:35
"HANMI BANK","LOS ANGELES","CA","19821215",24170,"NM","FDIC","A","SAN FRANCISCO",4813290,657365,0,0,122039399,"HANMI BANK","3660 WILSHIRE BOULEVARD, PH-A","LOS ANGELES","CA","90010","041",2017-07-28 18:28:07
"MEGA BANK","SAN GABRIEL","CA","20080205",58401,"NM","FDIC","A","SAN FRANCISCO",328999,3690635,0,0,122244870,"MEGA BANK","245 WEST VALLEY BOULEVARD","SAN GABRIEL","CA","91776","051",2017-08-04 15:43:05
"METROPOLITAN BANK","OAKLAND","CA","19830901",25869,"NM","FDIC","A","SAN FRANCISCO",155599,534466,0,0,121141343,"METROPOLITAN BANK","250 EAST 18TH STREET","OAKLAND","CA","94606","051",2017-07-20 19:43:34
"MISSION NATIONAL BANK","SAN FRANCISCO","CA","19820216",23749,"N","OCC","A","SAN FRANCISCO",284589,519360,17176,0,121038773,"MISSION NATIONAL BANK","3060 16TH STREET","SAN FRANCISCO","CA","94103","051",2017-07-28 19:45:57
"NEW OMNI BANK NATIONAL ASSN","ALHAMBRA","CA","19800212",23086,"N","OCC","A","SAN FRANCISCO",430110,300063,16840,0,122237858,"NEW OMNI BANK, NATIONAL ASSOCIATION","1235 SOUTH GARFIELD AVENUE","ALHAMBRA","CA","91801","041",2017-07-28 15:11:33
"OPEN BANK","LOS ANGELES","CA","20050610",57944,"NM","FDIC","A","SAN FRANCISCO",800095,3357219,0,0,122043958,"OPEN BANK","1000 WILSHIRE BOULEVARD, SUITE 100","LOS ANGELES","CA","90017","051",2017-07-27 19:44:58
"PACIFIC ALLIANCE BANK","ROSEMEAD","CA","20061227",58234,"NM","FDIC","A","SAN FRANCISCO",265521,3546862,0,0,122244511,"PACIFIC ALLIANCE BANK","8400 EAST VALLEY BOULEVARD","ROSEMEAD","CA","91770","051",2017-07-28 16:20:22
"PACIFIC CITY BANK","LOS ANGELES","CA","20030918",57463,"NM","FDIC","A","SAN FRANCISCO",1286432,3212402,0,0,122043602,"PACIFIC CITY BANK","3701 WILSHIRE BOULEVARD, SUITE 100","LOS ANGELES","CA","90010","041",2017-07-28 17:00:16
"PACIFIC COMMERCE BANK","LOS ANGELES","CA","20021010",57065,"SM","FED","A","SAN FRANCISCO",535159,3143805,0,0,122043301,"PACIFIC COMMERCE BANK","420 EAST THIRD STREET, SUITE 100","LOS ANGELES","CA","90013","051",2017-07-26 19:40:21
"PREFERRED BANK","LOS ANGELES","CA","19911223",33539,"NM","FDIC","A","SAN FRANCISCO",3414743,1918344,0,0,122042205,"PREFERRED BANK","601 SOUTH FIGUEROA STREET, 29TH FLOOR","LOS ANGELES","CA","90017","041",2017-07-28 20:26:05
"ROYAL BUSINESS BANK","LOS ANGELES","CA","20081118",58816,"NM","FDIC","A","SAN FRANCISCO",1502567,3835454,0,0,122045037,"ROYAL BUSINESS BANK","660 SOUTH FIGUEROA, SUITE 1888","LOS ANGELES","CA","90017","041",2017-07-28 18:30:09
"STATE BANK OF INDIA CA","LOS ANGELES","CA","19820903",23998,"NM","FDIC","A","SAN FRANCISCO",636287,779968,0,0,122039344,"STATE BANK OF INDIA (CALIFORNIA)","707 WILSHIRE BOULEVARD, SUITE 2900","LOS ANGELES","CA","90017","051",2017-07-28 17:55:51
"UNITED PACIFIC BANK","CITY OF INDUSTRY","CA","19820511",23805,"NM","FDIC","A","SAN FRANCISCO",125027,609467,0,0,122039179,"UNITED PACIFIC BANK","1630 SOUTH AZUSA AVENUE","CITY OF INDUSTRY","CA","91748","051",2017-07-27 18:39:39
"UNITI BANK","BUENA PARK","CA","20011217",57120,"NM","FDIC","A","SAN FRANCISCO",282939,3076284,0,0,122243415,"UNITI BANK","6301 BEACH BOULEVARD, SUITE 100","BUENA PARK","CA","90621","051",2017-08-14 16:17:39
"UNIVERSAL BANK","WEST COVINA","CA","19541117",30722,"SB","OCC","A","SAN FRANCISCO",348822,208570,705801,5801,322270275,"UNIVERSAL BANK","3455 NOGALES STREET, 2ND FLOOR","WEST COVINA","CA","91792","051",2017-07-26 15:30:08
"US METRO BANK","GARDEN GROVE","CA","20060915",58310,"NM","FDIC","A","SAN FRANCISCO",222452,3470154,0,0,122244427,"US METRO BANK","9866 GARDEN GROVE BOULEVARD","GARDEN GROVE","CA","92844","051",2017-07-19 13:33:48
"ANZ GUAM INC","HAGATNA","GU","19910111",33316,"NM","FDIC","A","SAN FRANCISCO",336953,1852569,0,0,121405212,"ANZ GUAM, INC.","424 WEST O'BRIEN DRIVE, SUITE 112","HAGATNA","GU","96910","051",2017-07-30 18:47:52
"BANK OF GUAM","HAGATNA","GU","19721211",20884,"NM","FDIC","A","SAN FRANCISCO",1903249,711472,0,0,121405115,"BANK OF GUAM","111 WEST CHALAN SANTO PAPA","HAGATNA","GU","96910","031",2017-07-26 00:40:52
"BANKPACIFIC LTD","HAGATNA","GU","19530101",30692,"SL","FDIC","A","SAN FRANCISCO",141257,364270,0,5756,321470364,"BANKPACIFIC, LTD.","151 ASPINALL AVENUE","HAGATNA","GU","96910","031",2017-07-28 01:39:48
"FINANCE FACTORS LTD","HONOLULU","HI","19520514",25158,"NM","FDIC","A","SAN FRANCISCO",568723,827560,0,0,321381233,"FINANCE FACTORS, LIMITED","1164 BISHOP STREET, SUITE 300","HONOLULU","HI","96813","031",2017-07-26 22:35:02
"HAWAII NATIONAL BANK","HONOLULU","HI","19600916",18296,"N","OCC","A","SAN FRANCISCO",665951,915065,14911,0,121301772,"HAWAII NATIONAL BANK","45 NORTH KING STREET","HONOLULU","HI","96817","051",2017-07-27 20:10:34
"OHANA BANK","HONOLULU","HI","20060601",58231,"NM","FDIC","A","SAN FRANCISCO",136357,3447772,0,0,121302360,"OHANA PACIFIC BANK","1357 KAPIOLANI BOULEVARD, SUITE 102","HONOLULU","HI","96814","051",2017-07-26 18:18:47
"EAGLE BANK","POLSON","MT","20060725",58282,"NM","FDIC","N","SAN FRANCISCO",60539,3346633,0,0,92905472,"EAGLE BANK","80 HERITAGE LANE","POLSON","MT","59860","051",2017-07-29 12:22:21
"PLAZA BANK","SEATTLE","WA","20060607",58305,"NM","FDIC","H","SAN FRANCISCO",69677,3447875,0,0,125008806,"PLAZA BANK","520 PIKE STREET, SUITE 2750","SEATTLE","WA","98101","041",2017-07-28 21:01:47
"UNIBANK","LYNNWOOD","WA","20061101",58407,"NM","FDIC","A","SAN FRANCISCO",250176,3487947,0,0,125108861,"UNIBANK","19315 HIGHWAY 99","LYNNWOOD","WA","98036","051",2017-07-28 12:58:24
